Date,Revenue,Expenses,Profit,Cash Flow,Debt,Assets,Liabilities,Marketing Spend,Employee Count,Tax Paid,Operational Cost
2000-02-13,66576,74046,-7470,-10355,30687,133534,42162,12486,390,13393,52276.63
2000-02-14,59353,51393,7960,9541,16003,96035,33593,16168,269,12572,34376.18
2000-02-15,82003,59280,22723,20786,26796,50661,27021,17347,349,6267,37245.14
2000-02-16,72733,23951,48782,49433,15136,60217,46546,12844,424,6882,15243.55
2000-02-17,85318,23117,62201,59007,12777,128371,28385,12050,471,4657,15920.12
2000-02-18,43664,40979,2685,4985,10739,132013,51420,13851,294,4440,32484.91
2000-02-19,87172,23989,63183,66670,39090,75440,38988,10836,180,3438,17306.67
2000-02-20,46736,31915,14821,12515,36824,73742,62757,6441,167,8478,24678
2000-02-21,20854,74261,-53407,-52914,38658,56619,20697,16963,205,2131,48186.56
2000-02-22,58623,44535,14088,17311,15621,124815,26016,10984,487,2750,30219.11
2000-02-23,27392,47124,-19732,-20082,41825,55571,56906,9409,350,8829,35167.54
2000-02-24,75680,68289,7391,10517,34191,111111,44589,18994,391,6432,41907.22
2000-02-25,66717,59376,7341,3133,22367,129629,43625,18507,476,5460,38898.07
2000-02-26,70859,48366,22493,21684,32716,104913,40498,10685,156,11708,34479.39
2000-02-27,46309,22428,23881,19970,11503,85812,56914,11599,466,12662,16594.83
2000-02-28,83734,39881,43853,47274,10827,72254,48039,6017,419,2864,27404.88
2000-02-29,90467,19904,70563,68343,29615,64717,63311,17401,190,12971,15391.94
2000-03-01,72662,50677,21985,21482,25089,109838,50347,5443,346,12508,36329.27
2000-03-02,32688,61319,-28631,-32842,19809,54370,43237,6802,490,4971,44778.15
2000-03-03,45342,64830,-19488,-20294,23355,134092,65346,7241,300,3932,42406.51
2000-03-04,57157,67536,-10379,-5389,32236,75096,21221,10141,286,9418,44949.8
2000-03-05,87863,23922,63941,63398,23947,71792,50213,6027,406,11528,14546.91
2000-03-06,72083,46160,25923,27594,35085,104398,49026,15281,182,3506,28388.66
2000-03-07,85733,17025,68708,68343,15632,98755,58123,5472,277,4407,13496.46
2000-03-08,54698,28220,26478,27439,18886,100281,40746,7611,281,14567,20039.25
2000-03-09,42671,60958,-18287,-16549,30400,98618,34245,9651,57,6104,38058.42
2000-03-10,45184,68380,-23196,-23041,39792,53648,44410,18565,499,2006,45286.47
2000-03-11,62107,17766,44341,39654,40050,77220,62567,5881,349,5172,12913.38
2000-03-12,71663,33482,38181,39814,32008,88968,32376,13078,476,11081,25837.28
2000-03-13,35708,70913,-35205,-39973,26282,106039,41586,14803,410,8499,43481.12
2000-03-14,69811,48159,21652,22387,15523,118887,50513,5864,386,8274,33267.39
2000-03-15,22811,25935,-3124,1097,19438,50613,38361,8487,181,4631,15916.63
2000-03-16,76250,18784,57466,60315,28991,122808,21561,6093,68,4051,13006.64
2000-03-17,92082,38050,54032,51743,42759,97043,54574,15346,211,7098,28324.65
2000-03-18,54754,35221,19533,22473,10287,90965,60422,11400,239,4217,26581.86
2000-03-19,31411,44179,-12768,-14424,25796,103186,51179,11629,130,7249,28932.53
2000-03-20,22911,33069,-10158,-13036,14532,128881,41783,16879,394,12164,21609.23
2000-03-21,87270,70649,16621,15400,43208,82628,26988,10349,182,13053,56350.93
2000-03-22,28680,50682,-22002,-21348,31996,75114,67290,8603,165,2615,31590.49
2000-03-23,91295,71268,20027,24099,14885,74081,62808,14963,386,12808,51959.55
2000-03-24,31111,40994,-9883,-13711,31476,146772,44144,18425,188,4645,30634.37
2000-03-25,57504,61011,-3507,-1190,44036,94661,30730,17612,107,7762,46044.29
2000-03-26,21802,43767,-21965,-19221,16864,68903,21664,12716,449,6425,32090.57
2000-03-27,28155,76545,-48390,-53231,24565,125359,20138,5359,129,4135,52284.77
2000-03-28,93656,27282,66374,69337,37088,61988,40755,11322,279,6334,17014.89
2000-03-29,59384,35110,24274,21403,10185,141390,54334,11145,280,8971,25078.66
2000-03-30,67254,60733,6521,4599,30641,83323,40203,18901,296,12599,43596.6
2000-03-31,41918,46232,-4314,-7085,37846,126641,64198,15640,131,10701,33771.99
2000-04-01,80713,75973,4740,2657,26348,54342,51749,12729,287,4790,59676.59
2000-04-02,50306,59273,-8967,-10954,46311,58508,57218,12889,167,6990,40768.25
2000-04-03,36646,19951,16695,21436,47654,135637,20946,12312,52,11004,15795.53
2000-04-04,66843,70210,-3367,-2041,37638,126874,33364,7663,323,9771,45143.38
2000-04-05,36371,22655,13716,10295,47408,137846,37523,14630,165,3411,14746.48
2000-04-06,97371,44461,52910,49870,37154,101439,58187,5798,159,4001,27799.26
2000-04-07,22049,19610,2439,5341,43912,134194,23136,12971,184,14070,12060.62
2000-04-08,51616,71973,-20357,-18700,30548,104867,21231,16026,252,12048,49862.23
2000-04-09,40932,46617,-5685,-6841,41012,102981,25872,18628,352,10207,33886.09
2000-04-10,49855,32468,17387,17084,10634,81474,36492,19751,192,13821,22031.76
2000-04-11,81434,22583,58851,56241,17577,143098,64799,10456,406,9389,16043.01
2000-04-12,92694,40583,52111,48530,27687,90395,37396,17631,111,4809,27607.9
2000-04-13,63016,32701,30315,29232,26916,112575,67054,7284,127,8055,19914.21
2000-04-14,27400,21880,5520,5462,40304,54164,53351,6511,72,2182,13890.18
2000-04-15,62642,50117,12525,15879,29081,81713,59875,11787,213,7088,32756.29
2000-04-16,35151,38721,-3570,-263,40620,51385,31000,9420,194,2675,28149.14
2000-04-17,71407,66845,4562,7132,10952,92977,45709,5499,327,10123,51671.77
2000-04-18,86690,54976,31714,31912,45573,111725,24125,12028,329,12846,34985.39
2000-04-19,24499,41854,-17355,-12693,33970,104714,21442,15030,204,9715,27005.95
2000-04-20,26295,61488,-35193,-34191,49550,72678,68517,7558,66,9331,45687.21
2000-04-21,79040,21881,57159,57301,39099,115021,24453,10754,200,2174,17312.63
2000-04-22,32183,18722,13461,12313,37398,71987,65652,16763,376,13055,12554.98
2000-04-23,49299,35077,14222,9764,35555,111880,44093,16304,177,12005,23292.46
2000-04-24,32874,30332,2542,6147,47980,79592,62364,9480,174,13291,20390.95
2000-04-25,52711,68544,-15833,-11960,14130,63487,61735,7649,434,13939,43457.57
2000-04-26,25539,76894,-51355,-47522,34326,149881,20730,10545,227,7407,53706.32
2000-04-27,73351,54992,18359,17337,13386,114540,69440,17822,368,10813,38972.64
2000-04-28,81267,28229,53038,49470,36999,56740,62059,16989,427,8668,17825.26
2000-04-29,68354,22802,45552,49412,26149,123542,36682,14950,355,10865,14702.13
2000-04-30,22557,76679,-54122,-51317,41586,126328,46156,15556,140,12686,49106.09
2000-05-01,58360,37101,21259,17227,23294,60046,20745,19663,176,13328,26755.59
2000-05-02,22200,26439,-4239,-3439,20727,52478,36115,16677,293,11935,19625.96
2000-05-03,88497,50902,37595,40440,16090,81331,26614,17461,403,11690,33652.51
2000-05-04,66975,17598,49377,53749,15495,147664,32213,19283,470,6766,13252.67
2000-05-05,41357,41761,-404,187,39025,63662,34829,12253,414,6527,32650.17
2000-05-06,97505,19052,78453,78836,22147,52963,48786,12466,432,6828,13406.14
2000-05-07,22869,27741,-4872,-2402,13552,81213,27538,9110,448,3862,21691.7
2000-05-08,81135,18824,62311,62130,27362,75746,20163,8613,159,14967,13652.43
2000-05-09,70108,51288,18820,21452,49315,134169,22840,16707,105,5203,32778.53
2000-05-10,58467,16249,42218,40453,31897,141939,38644,13304,361,5917,10584.15
2000-05-11,43328,37970,5358,5613,34978,146150,28484,17926,334,13128,27264.04
2000-05-12,23987,30565,-6578,-11327,20996,119329,58008,6048,92,9760,19715.18
2000-05-13,78871,71995,6876,6176,27898,117996,20395,9916,135,11024,43250.52
2000-05-14,42399,33458,8941,11350,19739,138875,42431,13121,197,14912,21814.2
2000-05-15,66214,66656,-442,-1444,26777,90318,38853,6537,263,10321,40679.79
2000-05-16,90271,77134,13137,17119,23297,80470,54359,6088,317,13217,60129.01
2000-05-17,64064,60765,3299,3479,11743,110318,30176,17115,429,3922,44804.49
2000-05-18,90091,17014,73077,73498,23536,61813,28043,6964,414,12964,10308.7
2000-05-19,60818,19944,40874,37369,15436,99768,21404,13363,276,2076,12159.43
2000-05-20,65525,48716,16809,19787,40589,144458,67385,9249,267,9216,29510.27
2000-05-21,39830,64258,-24428,-21287,10421,68369,34904,15631,319,5822,48794.25
2000-05-22,37429,58451,-21022,-20644,49184,148045,41389,9178,494,13674,44258.26
2000-05-23,26893,29012,-2119,-4542,16808,65310,45015,14374,285,5193,21687.81
2000-05-24,99909,78523,21386,21692,47481,69733,42853,12502,261,2450,49475.03
2000-05-25,67333,52460,14873,18006,45945,91674,57160,16881,149,7060,41827.77
2000-05-26,23436,72498,-49062,-52827,46544,143237,42578,10939,125,3277,55757.14
2000-05-27,94290,18240,76050,72108,30774,142597,46050,18057,304,13768,13289.21
2000-05-28,96213,73139,23074,27436,33112,58709,32788,15177,238,13940,53831.24
2000-05-29,25895,76711,-50816,-52157,33594,63163,53291,16825,58,5967,51916.35
2000-05-30,39738,57530,-17792,-17424,34769,138860,61056,11521,402,14540,41083.48
2000-05-31,50746,28731,22015,17071,22598,124434,31184,18788,174,4661,19219.67
2000-06-01,69377,69455,-78,2394,39291,112449,30225,10856,265,5887,51596.34
2000-06-02,68404,33018,35386,32955,38594,52295,46220,7441,457,2961,22028.49
2000-06-03,74045,77700,-3655,-4575,24980,129212,59680,14455,271,10925,61394.51
2000-06-04,59790,57898,1892,3269,37405,71821,22706,5045,246,3477,45945.14
2000-06-05,25600,32916,-7316,-10368,47819,91740,62689,11228,441,11498,21415.55
2000-06-06,60764,55376,5388,610,48879,115006,24438,6236,128,5148,42345.6
2000-06-07,94543,42604,51939,56770,14391,98831,47884,9330,478,8148,26425.11
2000-06-08,65714,60177,5537,5754,34813,88446,55399,7316,486,11523,39195.14
2000-06-09,76835,65592,11243,16192,30104,78859,68353,6458,296,12937,42812.92
2000-06-10,93744,73742,20002,24029,30393,145489,24221,17623,325,9415,53431
2000-06-11,76491,35030,41461,38997,14905,88693,65959,15322,363,14378,27452.56
2000-06-12,38589,26589,12000,9525,45104,121773,41018,5983,384,2829,17531.82
2000-06-13,63484,36983,26501,30677,46685,114181,37945,19521,263,5471,25335.16
2000-06-14,56212,27437,28775,25132,11114,96043,30592,17349,273,14719,18602.4
2000-06-15,63525,77146,-13621,-13734,36795,128118,35146,18590,119,6678,52155.92
2000-06-16,67202,42618,24584,27306,23010,138543,27783,12939,407,10170,30482.83
2000-06-17,52635,65767,-13132,-12150,48808,94796,55692,12165,416,2578,48315.92
2000-06-18,83208,24705,58503,57980,17967,98147,62991,9766,466,12382,16789.22
2000-06-19,53828,72146,-18318,-13680,32037,63049,63047,15631,494,11680,54925.26
2000-06-20,38711,37680,1031,-2598,43913,66156,68817,10865,188,8082,27039.05
2000-06-21,23420,30376,-6956,-8732,11627,60655,39144,8992,180,12556,19876.48
2000-06-22,20301,66750,-46449,-49575,20050,148163,32489,15037,415,13969,45010.67
2000-06-23,65236,40420,24816,23177,19674,80258,47164,7262,354,5181,32042.67
2000-06-24,86235,59379,26856,27960,32145,85975,31604,14610,490,5268,42783.45
2000-06-25,74240,67682,6558,2700,24264,77284,45846,9827,116,9063,47387.33
2000-06-26,85726,79713,6013,5322,37768,52710,60052,18356,206,6579,51766.95
2000-06-27,30492,55358,-24866,-21110,31704,129986,55197,18398,425,12539,39116.7
2000-06-28,26102,66479,-40377,-38479,41961,111362,44817,10244,60,8598,40971.96
2000-06-29,70336,54333,16003,12591,25759,71338,27953,9027,406,12366,36947.48
2000-06-30,46641,71919,-25278,-25280,15504,117065,24085,18556,301,11880,55614.16
2000-07-01,54584,75384,-20800,-16138,40783,115715,67350,15220,414,4282,51742.2
2000-07-02,52745,79976,-27231,-27889,39819,85463,40116,18866,232,5188,61451.61
2000-07-03,43093,66128,-23035,-24673,31861,140722,42333,7172,156,14504,40205.97
2000-07-04,86105,16835,69270,65906,45340,70804,69247,17015,99,12817,10567.5
2000-07-05,71885,36283,35602,40266,32289,94832,52873,11847,192,9233,27092.82
2000-07-06,56631,64506,-7875,-6648,33821,95245,24316,7478,181,6745,48307.18
2000-07-07,92991,57565,35426,31670,22271,100112,43004,17771,337,11009,41975.68
2000-07-08,24014,68625,-44611,-42697,17193,90126,33849,19140,485,9408,53820.08
2000-07-09,31093,50963,-19870,-19564,45516,52775,22952,19561,284,12053,35958.31
2000-07-10,38070,74471,-36401,-36887,42707,141424,33914,5175,367,10586,55505.85
2000-07-11,55777,61636,-5859,-2409,48173,61429,54170,13266,403,4928,40330.18
2000-07-12,76958,24179,52779,50137,19021,51281,20395,7800,251,9636,17477.74
2000-07-13,30729,43904,-13175,-12560,19040,95291,28719,7567,143,14954,33134.21
2000-07-14,65017,79991,-14974,-18706,17899,84185,51534,19343,90,4083,59154.43
2000-07-15,86320,56113,30207,34338,49749,50740,52577,19840,259,7420,42745.44
2000-07-16,47751,48674,-923,-3547,36552,73105,30802,7099,450,14058,33128.43
2000-07-17,98069,26955,71114,74501,14344,54555,24582,18392,182,14542,17696.88
2000-07-18,74748,63536,11212,9308,23402,142893,64314,19855,377,4359,41623.07
2000-07-19,25801,22198,3603,2238,17203,69470,56296,11461,431,10100,16888.19
2000-07-20,39190,16620,22570,18131,23318,83238,46689,16072,281,13461,12810.98
2000-07-21,69689,59588,10101,13332,15440,73411,58461,11797,287,14326,38234.74
2000-07-22,70993,26766,44227,49186,12892,92961,47527,12236,374,11095,18050.44
2000-07-23,49592,46090,3502,6241,30008,79500,43045,9442,130,7451,36138.84
2000-07-24,30647,68570,-37923,-36052,16687,77294,51351,14135,88,8850,41331.23
2000-07-25,28716,56291,-27575,-30071,33807,110660,57886,17272,283,10757,37688.09
2000-07-26,90316,19338,70978,72999,49072,100341,34906,16350,337,9304,13976.67
2000-07-27,22368,63679,-41311,-40340,25389,104940,58478,10771,440,13946,40080.7
2000-07-28,97575,64581,32994,35870,40152,59421,21975,9927,391,2139,47600.86
2000-07-29,26655,20301,6354,10333,47222,67528,34572,13179,381,10743,13368.14
2000-07-30,90031,30144,59887,58984,35875,114999,46589,18435,227,3389,23770.43
2000-07-31,96429,28784,67645,72329,40552,61800,34508,15525,137,9407,17699.74
2000-08-01,75766,17423,58343,62664,44939,137016,33150,8207,354,6448,13473.99
2000-08-02,33403,23272,10131,11953,38939,133429,22752,16132,476,11969,16759.8
2000-08-03,52097,16573,35524,36402,18469,119275,30417,6511,194,10268,11996.21
2000-08-04,98657,39419,59238,58747,27407,78258,55231,6345,325,13019,23776.27
2000-08-05,30966,31803,-837,349,14621,119469,28069,18508,350,7284,24843.93
2000-08-06,72921,48234,24687,29523,22905,121163,65505,8788,481,13910,37134.63
2000-08-07,69726,63555,6171,4731,35775,63530,24841,6744,465,12309,43834.83
2000-08-08,70300,20176,50124,50803,28101,90135,56498,12246,294,11896,14061.57
2000-08-09,42677,51161,-8484,-10799,43037,58047,37155,14099,173,11603,33668.52
2000-08-10,75609,78440,-2831,-1219,29004,123810,27544,17258,185,6566,52226.84
2000-08-11,76661,57525,19136,18957,35962,103120,58888,18417,300,13458,40006.31
2000-08-12,51024,73862,-22838,-20031,15226,63164,58442,15863,93,14965,45475.69
2000-08-13,90313,71585,18728,15140,15253,67259,67249,11770,367,13418,44067.17
2000-08-14,73006,71546,1460,-2319,18726,58184,55793,19914,157,3372,54611.64
2000-08-15,35338,30164,5174,2423,45166,51564,32140,16913,388,13356,20376.87
2000-08-16,88027,27222,60805,58044,33579,132567,43285,6409,132,13428,21666.61
2000-08-17,39508,66187,-26679,-27477,31016,94093,50420,17942,327,12874,40866.74
2000-08-18,23051,40379,-17328,-14455,41950,113885,42420,12542,468,10170,31794.35
2000-08-19,68747,40653,28094,29987,39735,133109,21638,17478,461,11607,29678.5
2000-08-20,74021,33016,41005,44840,10022,120966,47805,11278,210,8047,21842.82
2000-08-21,86412,33368,53044,53447,42519,131300,67807,9371,311,12617,21797.35
2000-08-22,78335,38505,39830,40015,11286,63611,29768,19523,445,14109,30460.97
2000-08-23,76179,47771,28408,27698,13860,77819,60068,9359,146,9763,31901.52
2000-08-24,52093,79950,-27857,-28715,20274,143040,66792,16630,355,14247,56385.29
2000-08-25,89678,55245,34433,39010,20726,82922,38506,11233,426,5548,43697.63
2000-08-26,59734,53766,5968,8120,39282,51115,40453,15297,110,2192,34484.28
2000-08-27,92615,48370,44245,41829,39777,75755,28111,9743,99,5337,30786.6
2000-08-28,93523,22256,71267,67868,35916,127828,48543,9893,125,3298,14313.3
2000-08-29,37019,58327,-21308,-21366,24290,62287,52103,18139,214,10230,37746.28
2000-08-30,93847,61454,32393,33091,12377,90126,45037,15293,421,7804,45537.31
2000-08-31,99634,43251,56383,52190,34771,63862,29765,13885,277,8545,27442.42
2000-09-01,48251,72844,-24593,-22248,37037,147289,67877,16998,427,10421,44289.38
2000-09-02,45945,61741,-15796,-12490,19696,138638,46297,19591,244,13078,45931.04
2000-09-03,52217,46977,5240,2967,48160,87971,23853,17667,405,14247,37238.44
2000-09-04,28308,47664,-19356,-16191,31802,135468,69095,15908,280,11301,33798.49
2000-09-05,25949,79848,-53899,-54728,29302,79550,27901,5733,110,13023,53713.91
2000-09-06,71990,21714,50276,54917,35446,141164,67034,11174,397,12602,13162.69
2000-09-07,21150,56144,-34994,-38426,40860,80107,26592,9099,316,11425,40093.56
2000-09-08,94740,26701,68039,72553,34760,75994,57388,18724,385,4658,17771.57
2000-09-09,86617,29891,56726,60778,19881,64548,66746,17587,487,9545,21819.55
2000-09-10,36896,51019,-14123,-18382,27596,122150,49592,10213,116,3200,40362.47
2000-09-11,66175,67299,-1124,3798,21837,95276,22743,19718,107,5709,40680.93
2000-09-12,27805,42516,-14711,-13274,48992,68466,52835,5760,354,14119,31383.08
2000-09-13,25237,73639,-48402,-48498,18689,54921,31002,6557,404,8735,54096.12
2000-09-14,40056,55912,-15856,-17923,11565,142771,59006,17790,133,10594,40180.44
2000-09-15,65543,64206,1337,846,34793,109126,64720,14853,476,5026,47862.82
2000-09-16,76556,24916,51640,51166,14620,86061,37360,17383,245,14266,16814.17
2000-09-17,23343,17910,5433,6342,35937,124427,39658,10003,398,14992,11186.72
2000-09-18,33500,33254,246,595,27889,139510,36203,12709,261,6757,19981.59
2000-09-19,73222,76516,-3294,-5127,32706,72101,28194,14220,78,7406,52030.31
2000-09-20,49375,74687,-25312,-22706,35372,117159,39662,18505,191,9309,56843.69
2000-09-21,29662,59250,-29588,-32370,14956,82697,36952,5890,434,4910,42550.95
2000-09-22,36964,51116,-14152,-17812,49533,136463,59710,11341,323,8962,32178.29
2000-09-23,79638,32985,46653,49662,21911,75229,56361,7666,258,2671,21890.85
2000-09-24,93666,37151,56515,56154,25696,145395,52770,12786,320,13306,27218.54
2000-09-25,87215,75137,12078,8592,16670,70736,66091,7466,165,7136,58994.58
2000-09-26,89042,20830,68212,64623,42691,118086,63625,16849,138,13227,16075.78
2000-09-27,33284,59297,-26013,-23289,33473,93377,56189,17335,318,3633,43075.92
2000-09-28,92789,55888,36901,36068,31345,51292,20786,10589,169,7437,35974.26
2000-09-29,81389,71195,10194,6216,35608,79858,37300,10042,73,3724,55097
2000-09-30,29435,33474,-4039,-6281,45952,58071,29424,5589,467,12117,26248.44
2000-10-01,74340,20480,53860,58164,48516,149857,34349,13679,444,3007,16012.31
2000-10-02,64078,24443,39635,39443,20286,144533,47750,14871,239,5080,17433.6
2000-10-03,98832,54138,44694,49444,47693,107626,21778,18359,96,14702,41916.81
2000-10-04,71293,69334,1959,5792,23100,119265,20330,18440,74,10605,52599.36
2000-10-05,98781,47938,50843,52576,26872,59272,36924,18692,154,2840,34697.37
2000-10-06,80403,79450,953,860,33649,95435,65318,11671,465,9286,63275.29
2000-10-07,49124,17809,31315,29540,36410,54977,50400,6555,114,8121,11555.61
2000-10-08,63919,54761,9158,5172,48045,81752,40877,17703,78,13657,39692.37
2000-10-09,55247,72081,-16834,-15066,33106,104074,59695,7433,218,6927,43629.96
2000-10-10,82752,41930,40822,41280,22425,119314,56450,18370,71,7536,28938.91
2000-10-11,76573,74117,2456,-523,38031,76104,54447,11906,125,4268,56827.6
2000-10-12,79101,38095,41006,38682,16433,131608,62836,11586,178,7350,24647.93
2000-10-13,46646,26946,19700,24432,24400,119909,49580,14685,65,6987,20218.43
2000-10-14,43049,18991,24058,22164,17941,71937,34673,7308,449,11933,14286.36
2000-10-15,99605,38519,61086,65061,29653,101606,25532,8265,280,2270,28000.69
2000-10-16,88385,41657,46728,50590,29983,138499,45044,15480,180,6342,32438.04
2000-10-17,60158,15826,44332,41916,26260,137814,69992,8238,406,12738,10917.77
2000-10-18,85417,57625,27792,27734,32040,125920,56217,7091,277,14239,36981.2
2000-10-19,43289,31513,11776,8053,44041,148178,35740,13360,143,2992,23014.27
2000-10-20,29823,32801,-2978,-4935,10538,68310,57854,14055,302,5163,25904.01
2000-10-21,80160,44846,35314,37684,14212,144120,40540,18176,301,4828,32559.19
2000-10-22,61975,54566,7409,8269,29323,67128,53700,6597,52,2722,42328.52
2000-10-23,29540,38157,-8617,-9835,37190,111988,52108,11218,276,14554,29502.92
2000-10-24,36364,43363,-6999,-4942,43253,102035,52030,5793,485,11639,26070.14
2000-10-25,24611,65559,-40948,-37579,27770,117784,47646,8122,336,6319,40350.27
2000-10-26,47663,20136,27527,30994,43551,80149,56410,13654,84,13957,14305.65
2000-10-27,71991,72937,-946,-2465,21251,62796,29815,15635,167,10252,56242.82
2000-10-28,77679,32421,45258,46030,45692,58553,33742,18045,483,8489,21939.92
2000-10-29,50977,74472,-23495,-18879,34153,149519,60709,18017,253,14986,57922.75
2000-10-30,69115,75622,-6507,-6171,31996,136545,20799,13110,418,4921,50699.82
2000-10-31,80890,27491,53399,52521,42155,70642,68890,19640,72,12831,18786.34
2000-11-01,86387,22546,63841,61801,39085,130222,20885,8402,130,13664,14987.01
2000-11-02,38071,20903,17168,20065,18061,51158,64271,9464,281,4544,14388.77
2000-11-03,79275,61623,17652,15121,46300,123404,55848,19037,114,5212,42627.97
2000-11-04,92369,31406,60963,63014,34408,95899,44066,15715,258,12380,21863.17
2000-11-05,31938,29949,1989,1057,47292,79179,64004,16541,423,9822,19680.71
2000-11-06,55195,79673,-24478,-24035,28188,81204,39865,5852,284,14011,53940.56
2000-11-07,24000,24825,-825,3957,32779,67328,29100,13043,158,10960,17894.79
2000-11-08,90588,21287,69301,68681,35674,87881,46273,12093,364,3151,12809.12
2000-11-09,58304,59961,-1657,2647,34687,145928,36682,9916,304,2546,42541
2000-11-10,89449,76543,12906,17166,34214,54803,67836,12461,468,5793,46206
2000-11-11,40764,49173,-8409,-10864,10969,80603,32612,9632,112,14667,35476.33
2000-11-12,58494,57438,1056,3721,28017,127556,50286,16516,195,6267,38810.94
2000-11-13,23373,79928,-56555,-57906,31246,102089,21859,9198,59,12297,55364
2000-11-14,32161,70619,-38458,-41644,43686,135678,53766,16149,96,13136,53816.8
2000-11-15,47350,32578,14772,13679,26551,136474,60804,14967,172,6565,23926.89
2000-11-16,45351,56535,-11184,-12453,29705,112263,35406,5546,428,9361,44439.46
2000-11-17,35305,22923,12382,15067,38479,65456,41732,10704,82,3629,14882.43
2000-11-18,95353,49374,45979,49252,36836,108381,42316,14381,55,8836,33549.08
2000-11-19,96797,76713,20084,20953,25802,78547,28549,7493,70,6945,49436.84
2000-11-20,85953,56411,29542,32815,21031,114165,27775,8684,352,10384,35882.9
2000-11-21,77458,79368,-1910,-6817,31521,140727,29943,8587,463,9807,58210.4
2000-11-22,40358,23316,17042,20228,31358,94755,30579,19158,302,12873,17054.29
2000-11-23,23267,59414,-36147,-40805,35333,73681,29135,5412,70,7551,41493.23
2000-11-24,58513,25556,32957,34897,47551,99155,52808,7761,160,9229,16082.47
2000-11-25,46092,25058,21034,18442,47261,54754,34695,17064,419,7079,17877.45
2000-11-26,31338,54018,-22680,-18399,11973,62477,43875,14972,222,7478,37911.81
2000-11-27,20412,49451,-29039,-33416,20900,120599,24072,12760,146,11757,35295.21
2000-11-28,27543,40482,-12939,-17072,29460,61944,21226,17035,423,3194,27922.67
